Category,UNICEF Region,UNICEF Region Name,Indicator,Stratifier,Level,2006-2012,2013-2019
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,ORSZINC,Sex,Female,1,18.1
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,ORSZINC,Sex,Male,0.7,15.8
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,ORSZINC,WIQ,Poorest,0.8,14.7
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,ORSZINC,WIQ,Second,0.9,15.5
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,ORSZINC,WIQ,Middle,0.8,17.3
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,ORSZINC,WIQ,Fourth,1.2,19
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,ORSZINC,WIQ,Richest,1.2,22.9
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,ORSZINC,Mother's Education,None,1.1,7.4
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,ORSZINC,Mother's Education,Primary,1.1,7.1
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,ORTCF,National,National,34.8,40.4
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,ORTCF,Area,Urban,40.2,45.7
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,ORTCF,Area,Rural,33.1,38.8
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,ORTCF,Sex,Female,33.9,40.6
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,ORTCF,Sex,Male,34.6,40.9
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,ORTCF,WIQ,Poorest,31.1,35
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,ORTCF,WIQ,Second,31.3,40.7
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,ORTCF,WIQ,Middle,35.6,42
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,ORTCF,WIQ,Fourth,38.6,43
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,ORTCF,WIQ,Richest,43,48.2
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,PNEUCARE,National,National,48.4,57.4
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,PNEUCARE,Area,Urban,54.3,67.3
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,PNEUCARE,Area,Rural,46.4,53.7
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,PNEUCARE,Sex,Female,49,56.6
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,PNEUCARE,Sex,Male,47.2,58.2
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,PNEUCARE,WIQ,Poorest,38.4,50.9
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,PNEUCARE,WIQ,Second,46.3,54
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,PNEUCARE,WIQ,Middle,50.5,57.1
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,PNEUCARE,WIQ,Fourth,54.9,62.2
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,PNEUCARE,WIQ,Richest,68.1,69.4
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,ZINC,National,National,1.5,22.6
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,ZINC,Area,Urban,1.7,25.7
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,ZINC,Area,Rural,1.5,21.1
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,ZINC,Sex,Female,1.5,24.4
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,ZINC,Sex,Male,1.2,22.3
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,ZINC,WIQ,Poorest,1.3,19.7
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,ZINC,WIQ,Second,1.4,19
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,ZINC,WIQ,Middle,1.4,23.7
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,ZINC,WIQ,Fourth,1.3,26.8
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,ZINC,WIQ,Richest,2.1,27.3
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,ZINC,Mother's Education,None,1.6,16.9
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,ZINC,Mother's Education,Primary,1,23.3
UNICEF Reporting Sub-Region,ESA,EasternÿandÿSouthernÿAfrica,DIARCARE,National,National,40.9,50.6
UNICEF Reporting Sub-Region,ESA,EasternÿandÿSouthernÿAfrica,DIARCARE,Area,Urban,45.7,54.9
UNICEF Reporting Sub-Region,ESA,EasternÿandÿSouthernÿAfrica,DIARCARE,Area,Rural,40.3,49.8
UNICEF Reporting Sub-Region,ESA,EasternÿandÿSouthernÿAfrica,DIARCARE,Sex,Female,40.3,51.3
UNICEF Reporting Sub-Region,ESA,EasternÿandÿSouthernÿAfrica,DIARCARE,Sex,Male,40.7,49.6
UNICEF Reporting Sub-Region,ESA,EasternÿandÿSouthernÿAfrica,DIARCARE,WIQ,Poorest,37.7,45.7
UNICEF Reporting Sub-Region,ESA,EasternÿandÿSouthernÿAfrica,DIARCARE,WIQ,Second,37.5,48.8
UNICEF Reporting Sub-Region,ESA,EasternÿandÿSouthernÿAfrica,DIARCARE,WIQ,Middle,41.7,52.8
UNICEF Reporting Sub-Region,ESA,EasternÿandÿSouthernÿAfrica,DIARCARE,WIQ,Fourth,42.7,51.3
UNICEF Reporting Sub-Region,ESA,EasternÿandÿSouthernÿAfrica,DIARCARE,WIQ,Richest,49.8,56.6
UNICEF Reporting Sub-Region,ESA,EasternÿandÿSouthernÿAfrica,DIARCARE,Mother's Education,None,38.3,45.9
UNICEF Reporting Sub-Region,ESA,EasternÿandÿSouthernÿAfrica,DIARCARE,Mother's Education,Primary,41.4,52.4
UNICEF Reporting Sub-Region,ESA,EasternÿandÿSouthernÿAfrica,DIARCARE,Mother's Education,Sec & Higher,51.6,44.9
UNICEF Reporting Sub-Region,ESA,EasternÿandÿSouthernÿAfrica,IPTP,National,National,8.7,26.3
UNICEF Reporting Sub-Region,ESA,EasternÿandÿSouthernÿAfrica,IPTP,Area,Rural,8.1,23.2
UNICEF Reporting Sub-Region,ESA,EasternÿandÿSouthernÿAfrica,IPTP,WIQ,Poorest,8,23
UNICEF Reporting Sub-Region,ESA,EasternÿandÿSouthernÿAfrica,IPTP,WIQ,Second,8.8,23.9
UNICEF Reporting Sub-Region,ESA,EasternÿandÿSouthernÿAfrica,IPTP,WIQ,Middle,8.9,26
UNICEF Reporting Sub-Region,ESA,EasternÿandÿSouthernÿAfrica,IPTP,WIQ,Fourth,9.1,25.4
UNICEF Reporting Sub-Region,ESA,EasternÿandÿSouthernÿAfrica,IPTP,WIQ,Richest,10.5,26
UNICEF Reporting Sub-Region,ESA,EasternÿandÿSouthernÿAfrica,ITN,National,National,38.6,50.3
UNICEF Reporting Sub-Region,ESA,EasternÿandÿSouthernÿAfrica,ITN,Area,Urban,42.6,51.5
UNICEF Reporting Sub-Region,ESA,EasternÿandÿSouthernÿAfrica,ITN,Area,Rural,38.9,48.2
UNICEF Reporting Sub-Region,ESA,EasternÿandÿSouthernÿAfrica,ITN,Sex,Female,42.6,50.3
UNICEF Reporting Sub-Region,ESA,EasternÿandÿSouthernÿAfrica,ITN,Sex,Male,42.2,50
UNICEF Reporting Sub-Region,ESA,EasternÿandÿSouthernÿAfrica,ITN,WIQ,Poorest,35.9,39
UNICEF Reporting Sub-Region,ESA,EasternÿandÿSouthernÿAfrica,ITN,WIQ,Second,39.1,46.9
UNICEF Reporting Sub-Region,ESA,EasternÿandÿSouthernÿAfrica,ITN,WIQ,Middle,40.5,49.3
UNICEF Reporting Sub-Region,ESA,EasternÿandÿSouthernÿAfrica,ITN,WIQ,Fourth,42.3,54.3
UNICEF Reporting Sub-Region,ESA,EasternÿandÿSouthernÿAfrica,ITN,WIQ,Richest,45.8,55.2
UNICEF Reporting Sub-Region,ESA,EasternÿandÿSouthernÿAfrica,ITNOWN,National,National,51,65.8
UNICEF Reporting Sub-Region,ESA,EasternÿandÿSouthernÿAfrica,ITNOWN,Area,Urban,50.4,62.2
UNICEF Reporting Sub-Region,ESA,EasternÿandÿSouthernÿAfrica,ITNOWN,Area,Rural,54.1,65.9
UNICEF Reporting Sub-Region,ESA,EasternÿandÿSouthernÿAfrica,ITNOWN,WIQ,Poorest,45.8,57.3
UNICEF Reporting Sub-Region,ESA,EasternÿandÿSouthernÿAfrica,ITNOWN,WIQ,Second,51.5,65.1
UNICEF Reporting Sub-Region,ESA,EasternÿandÿSouthernÿAfrica,ITNOWN,WIQ,Middle,53.3,67.2
UNICEF Reporting Sub-Region,ESA,EasternÿandÿSouthernÿAfrica,ITNOWN,WIQ,Fourth,56,68.2
UNICEF Reporting Sub-Region,ESA,EasternÿandÿSouthernÿAfrica,ITNOWN,WIQ,Richest,59.1,65.2
UNICEF Reporting Sub-Region,ESA,EasternÿandÿSouthernÿAfrica,ITNPREG,National,National,42.3,54.4
UNICEF Reporting Sub-Region,ESA,EasternÿandÿSouthernÿAfrica,ITNPREG,Area,Urban,41.9,48.6
UNICEF Reporting Sub-Region,ESA,EasternÿandÿSouthernÿAfrica,ITNPREG,Area,Rural,42.9,53.7
UNICEF Reporting Sub-Region,ESA,EasternÿandÿSouthernÿAfrica,ITNPREG,WIQ,Poorest,39.3,45.6
UNICEF Reporting Sub-Region,ESA,EasternÿandÿSouthernÿAfrica,ITNPREG,WIQ,Second,42.6,55.7
UNICEF Reporting Sub-Region,ESA,EasternÿandÿSouthernÿAfrica,ITNPREG,WIQ,Middle,40.8,54.9
UNICEF Reporting Sub-Region,ESA,EasternÿandÿSouthernÿAfrica,ITNPREG,WIQ,Fourth,44.9,49.8
UNICEF Reporting Sub-Region,ESA,EasternÿandÿSouthernÿAfrica,ITNPREG,WIQ,Richest,44.1,54
UNICEF Reporting Sub-Region,ESA,EasternÿandÿSouthernÿAfrica,MLRACT,National,National,45.6,79.9
UNICEF Reporting Sub-Region,ESA,EasternÿandÿSouthernÿAfrica,MLRACT,Area,Urban,39.7,76.7
UNICEF Reporting Sub-Region,ESA,EasternÿandÿSouthernÿAfrica,MLRACT,Area,Rural,37.9,80.9
UNICEF Reporting Sub-Region,ESA,EasternÿandÿSouthernÿAfrica,MLRACT,Sex,Female,37.2,78.7
UNICEF Reporting Sub-Region,ESA,EasternÿandÿSouthernÿAfrica,MLRACT,Sex,Male,37.7,79.6
UNICEF Reporting Sub-Region,ESA,EasternÿandÿSouthernÿAfrica,MLRACT,WIQ,Poorest,39.9,77.3
UNICEF Reporting Sub-Region,ESA,EasternÿandÿSouthernÿAfrica,MLRACT,WIQ,Second,36.1,80
UNICEF Reporting Sub-Region,ESA,EasternÿandÿSouthernÿAfrica,MLRACT,WIQ,Middle,36.9,76
UNICEF Reporting Sub-Region,ESA,EasternÿandÿSouthernÿAfrica,MLRACT,WIQ,Fourth,37.6,80.7
UNICEF Reporting Sub-Region,ESA,EasternÿandÿSouthernÿAfrica,MLRACT,WIQ,Richest,38.5,75.3
UNICEF Reporting Sub-Region,ESA,EasternÿandÿSouthernÿAfrica,MLRCARE,National,National,50.3,60.5
UNICEF Reporting Sub-Region,ESA,EasternÿandÿSouthernÿAfrica,MLRCARE,Area,Rural,47.9,57.3
UNICEF Reporting Sub-Region,ESA,EasternÿandÿSouthernÿAfrica,MLRCARE,Sex,Female,53.5,59.5
UNICEF Reporting Sub-Region,ESA,EasternÿandÿSouthernÿAfrica,MLRCARE,Sex,Male,54.2,60
UNICEF Reporting Sub-Region,ESA,EasternÿandÿSouthernÿAfrica,MLRCARE,WIQ,Poorest,44.2,53.3
UNICEF Reporting Sub-Region,ESA,EasternÿandÿSouthernÿAfrica,MLRCARE,WIQ,Second,47.8,57.9
UNICEF Reporting Sub-Region,ESA,EasternÿandÿSouthernÿAfrica,MLRCARE,WIQ,Middle,47.8,59.3
UNICEF Reporting Sub-Region,ESA,EasternÿandÿSouthernÿAfrica,MLRCARE,WIQ,Fourth,54.7,64.7
UNICEF Reporting Sub-Region,ESA,EasternÿandÿSouthernÿAfrica,MLRCARE,WIQ,Richest,61.7,68
UNICEF Reporting Sub-Region,ESA,EasternÿandÿSouthernÿAfrica,MLRDIAG,National,National,19.4,34.5
UNICEF Reporting Sub-Region,ESA,EasternÿandÿSouthernÿAfrica,MLRDIAG,Area,Urban,34.8,44.4
UNICEF Reporting Sub-Region,ESA,EasternÿandÿSouthernÿAfrica,MLRDIAG,Area,Rural,15.8,38.1
UNICEF Reporting Sub-Region,ESA,EasternÿandÿSouthernÿAfrica,MLRDIAG,Sex,Female,18.9,33.4
UNICEF Reporting Sub-Region,ESA,EasternÿandÿSouthernÿAfrica,MLRDIAG,Sex,Male,19.8,32.4
UNICEF Reporting Sub-Region,ESA,EasternÿandÿSouthernÿAfrica,MLRDIAG,WIQ,Poorest,12,28.2
UNICEF Reporting Sub-Region,ESA,EasternÿandÿSouthernÿAfrica,MLRDIAG,WIQ,Second,13.7,32.4
UNICEF Reporting Sub-Region,ESA,EasternÿandÿSouthernÿAfrica,MLRDIAG,WIQ,Middle,19.9,32
UNICEF Reporting Sub-Region,ESA,EasternÿandÿSouthernÿAfrica,MLRDIAG,WIQ,Fourth,20.9,37.9
UNICEF Reporting Sub-Region,ESA,EasternÿandÿSouthernÿAfrica,MLRDIAG,WIQ,Richest,29.6,42.5
UNICEF Reporting Sub-Region,ESA,EasternÿandÿSouthernÿAfrica,ORS,National,National,36.3,39.3
UNICEF Reporting Sub-Region,ESA,EasternÿandÿSouthernÿAfrica,ORS,Area,Urban,42.2,45.8
UNICEF Reporting Sub-Region,ESA,EasternÿandÿSouthernÿAfrica,ORS,Area,Rural,35.2,37.8
UNICEF Reporting Sub-Region,ESA,EasternÿandÿSouthernÿAfrica,ORS,Sex,Female,36.3,38.8
UNICEF Reporting Sub-Region,ESA,EasternÿandÿSouthernÿAfrica,ORS,Sex,Male,36.3,39.8
UNICEF Reporting Sub-Region,ESA,EasternÿandÿSouthernÿAfrica,ORS,WIQ,Poorest,32.8,36.6
UNICEF Reporting Sub-Region,ESA,EasternÿandÿSouthernÿAfrica,ORS,WIQ,Second,34.1,35.6
UNICEF Reporting Sub-Region,ESA,EasternÿandÿSouthernÿAfrica,ORS,WIQ,Middle,36.3,41.9
